Year,Burkina Faso,Chad,Mali,Mauratania,Niger
1981,27.74215833,25.92145848,27.58224786,26.62533235,25.96580704
1982,27.46816442,25.94232709,27.22916315,25.81240145,26.16516507
1983,28.4049172,25.89838778,28.12711954,27.40878095,26.08722738
1984,28.23898952,26.40831622,27.59246666,26.22003756,26.30369429
1985,27.98402189,25.9701626,27.53181904,26.43273056,26.09631385
1986,27.86708989,26.44920056,27.41369468,25.80494179,26.52073773
1987,28.89756845,26.52256387,28.77377884,27.77971636,26.77765037
1988,28.03627881,26.28000796,27.84700091,26.52125043,26.48297295
1989,27.792506,25.42950642,27.99371716,26.96355577,25.82190859
1990,28.65566664,26.91707805,28.39032329,27.16286197,26.90355225
1991,28.20785592,26.58671826,28.05793901,26.53806939,26.72460524
1992,27.6846641,25.73060083,27.55708623,26.3356334,25.91551875
1993,28.47247455,26.44562889,28.19694778,26.32875914,26.63292294
1994,27.66646553,25.80645278,27.50514464,26.41719686,26.16085371
1995,28.06294549,26.3383688,27.98141028,26.5314794,26.79525818
1996,28.48828193,26.55810607,28.40115144,26.99696001,26.91614944
1997,28.18858253,26.31097219,28.05994678,26.73061814,26.71997317
1998,28.54509161,26.61959046,28.60912641,27.24048518,26.75265486
1999,27.98247184,26.33812759,27.68287695,26.41487793,26.39992106
2000,28.04370152,25.9973553,28.12138543,26.89531282,26.17159466
2001,28.28314391,26.48491114,28.50078031,27.57022243,26.58257806
2002,28.64468014,26.75113687,28.65916574,27.04929204,26.8882258
2003,28.44769495,26.85042251,28.69397449,27.19286622,27.09014362
2004,28.79852223,26.85666579,28.57078511,26.85196194,27.14599667
2005,28.86744489,27.21016584,28.75869352,27.4116142,27.48975892
2006,28.61027844,27.06651442,28.25602386,26.99490364,27.1489189
2007,28.42140399,26.92809095,28.30587442,26.85858625,27.07117372
2008,28.00456488,26.53327682,28.01624331,26.99108333,26.52006022
2009,28.70887099,27.4648955,28.59891779,27.13443403,27.66184441
2010,28.63814384,27.74058523,29.37280547,28.26150183,28.12353597
2011,28.69519904,26.84549911,28.65833662,27.27425497,27.34532404
2012,28.18281832,26.96748865,28.09457481,26.8131282,27.27346624
2013,28.65965738,27.4539542,28.58381677,27.31181585,27.55072675
2014,28.74658175,27.27956368,28.51995753,27.23605163,27.46866853
2015,28.46070884,27.06288329,28.41384059,27.40686352,26.79019532
2016,28.8455734,27.45833753,29.02951091,27.84584774,27.86350975
2017,28.72519319,27.22064655,28.8474104,27.85917275,27.0312716
